,Nama_Produk,Harga_Produk
0,Minyak Mimba (Neem Oil) – Pestisida Nabati Organik – 250ml,Rp 90.000
1,Pestisida Nabati (Organik) Naturo – 10 gram,Rp 30.000
2,"DECOPRIMA Biofungisida: Trichoderma, Streptomyces, Geobacillus – 100 gram",Rp 52.500
3,ZPT Golstar 250 SC Perangsang Bunga dan Buah – 30ml,Rp 40.000
4,Atraktan Petrogenol 800 L untuk Lalat Buah,Rp 8.000
5,Rhizattun F Hormon Perangsang Tumbuh – 20 Gram,Rp 15.000
6,Fungisida hayati / Organik Nopatek – 500ml,Rp 65.000
7,Pembasmi Rumput Roundup 486 SL 200ml,Rp 34.000
8,Fungi Mikoriza Penyubur Tanaman MycoVir – 100 gram,Rp 30.000
9,"Racun Tikus Petrokum 0,005BB 100g Mati Kering Tidak Bau Ampuh Pembasmi",Rp 6.000
10,Trichoderma Cair 100 ml,Rp 32.000
11,Pupuk Aero 810 Nasa – 250 cc,Rp 50.000
12,Trichoderma Beras Hijau – 100 gram,Rp 30.000
13,Tanaman Wild Mint (Mentha arvensis),Rp 26.000
14,"Pupuk Hayati HATAKE Anti Jamur, Layu, dan Bakteri Patogen – 100 Gram",Rp 40.000
15,Pestisida Hayati / Organik Antilat – 500ml,Rp 75.000
16,Gibberellin Acid Super Gib Ga3 Tablet,Rp 10.000
17,Pengkilap Daun “KILAP” Leafshine – 100 ml,Rp 21.500
18,Growtone – 100 gr,Rp 40.000
19,Pupuk Organik Cair (POC) BMW – 500mL,Rp 65.000
20,Fungisida Score 250 EC + ZPT – 80ml,Rp 70.000
21,Pestisida Alami Pestona Nasa – 500ml,Rp 59.000
22,"Pupuk Hayati TOMODACHI Anti Jamur, Layu, Bakteri + Penyubur Tanah – 250 gram",Rp 175.000
23,Atonik 6.0L – 500ml,Rp 65.000
24,Vitamin Ternak Natural Viterna Nasa – 500ml,Rp 60.000
25,Racun Keong / Siput Bentan 60WP – 50 Gram,Rp 35.000
26,Insektisida Mipcinta 50WP – 100 Gram,Rp 15.000
27,Root Breaker Gel Perangsang Akar + Cegah Batang Busuk – 50ml,Rp 100.000
28,Minyak Mimba (Neem Oil) – Pestisida Nabati Organik – 100ml,Rp 42.500
29,Pupuk Hormon ZPT Hantu Ratu Biogen – 1 Liter,Rp 115.000
