,Nama_Produk,Harga_Produk
0,Minyak Mimba (Neem Oil) – Pestisida Nabati Organik – 250ml,Rp 90.000
1,Pestisida Nabati (Organik) Naturo – 10 gram,Rp 30.000
2,"DECOPRIMA Biofungisida: Trichoderma, Streptomyces, Geobacillus – 100 gram",Rp 52.500
3,ZPT Golstar 250 SC Perangsang Bunga dan Buah – 30ml,Rp 40.000
4,Atraktan Petrogenol 800 L untuk Lalat Buah,Rp 8.000
5,Rhizattun F Hormon Perangsang Tumbuh – 20 Gram,Rp 15.000
6,Fungisida hayati / Organik Nopatek – 500ml,Rp 65.000
7,Pembasmi Rumput Roundup 486 SL 200ml,Rp 34.000
8,Fungi Mikoriza Penyubur Tanaman MycoVir – 100 gram,Rp 30.000
9,"Racun Tikus Petrokum 0,005BB 100g Mati Kering Tidak Bau Ampuh Pembasmi",Rp 6.000
10,Trichoderma Cair 100 ml,Rp 32.000
11,Pupuk Aero 810 Nasa – 250 cc,Rp 50.000
12,Trichoderma Beras Hijau – 100 gram,Rp 30.000
13,Tanaman Wild Mint (Mentha arvensis),Rp 26.000
14,"Pupuk Hayati HATAKE Anti Jamur, Layu, dan Bakteri Patogen – 100 Gram",Rp 40.000
15,Pestisida Hayati / Organik Antilat – 500ml,Rp 75.000
16,Gibberellin Acid Super Gib Ga3 Tablet,Rp 10.000
17,Pengkilap Daun “KILAP” Leafshine – 100 ml,Rp 21.500
18,Growtone – 100 gr,Rp 40.000
19,Pupuk Organik Cair (POC) BMW – 500mL,Rp 65.000
20,Fungisida Score 250 EC + ZPT – 80ml,Rp 70.000
21,Pestisida Alami Pestona Nasa – 500ml,Rp 59.000
22,"Pupuk Hayati TOMODACHI Anti Jamur, Layu, Bakteri + Penyubur Tanah – 250 gram",Rp 175.000
23,Atonik 6.0L – 500ml,Rp 65.000
24,Vitamin Ternak Natural Viterna Nasa – 500ml,Rp 60.000
25,Racun Keong / Siput Bentan 60WP – 50 Gram,Rp 35.000
26,Insektisida Mipcinta 50WP – 100 Gram,Rp 15.000
27,Root Breaker Gel Perangsang Akar + Cegah Batang Busuk – 50ml,Rp 100.000
28,Minyak Mimba (Neem Oil) – Pestisida Nabati Organik – 100ml,Rp 42.500
29,Pupuk Hormon ZPT Hantu Ratu Biogen – 1 Liter,Rp 115.000
30,Insektisida Curacron 500EC – 100ml,Rp 37.500
31,Tetes Tebu / Molase 500 ml,Rp 12.000
32,Clonex Rooting Hormone Gel (50 ml),Rp 175.000
33,Root Up – 100 Gram,Rp 37.500
34,Natural Pentana Nasa – 100ml,Rp 62.000
35,Pestisida MAGICgro G7 (100% Organic) – 1 Liter,Rp 95.000
36,Bud Breaker Salep Perangsang Mata Tunas – 5 Gram,Rp 95.000
37,Amistartop 325SC Fungisida + ZPT – 100ml,Rp 130.000
38,Hormonik Nasa – 100ml,Rp 42.500
39,Hormax ZPT Hormon Perangsang Tumbuh Organik – 500ml,Rp 55.000
40,Metilat Plus (Perangkap Lalat Buah),Rp 90.500
41,Fungisida / Bakterisida Nordox 56WP – 100 Gram,Rp 25.000
42,Insektisida Regent Red 50SC – 50ml,Rp 25.000
43,Kalsium Nitrat (Calcinit) / Ca(NO3)2 – 1 Kg – YaraLiva,Rp 27.500
44,Fungisida Dithane M-45 80WP – 200 Gram,Rp 38.500
45,Fungisida Antracol 70WP – 250 gram,Rp 45.000
46,Insektisida Termiban 400EC Anti Rayap – 100ml,Rp 25.000
47,Gramoxone 276SL Herbisida Pembasmi Gulma & Tanaman Liar – 250ml,Rp 31.500
48,Insektisida / Nematisida Furadan 3GR – 1 Kg,Rp 25.000
49,Insektisida Rapamex 55EC – 100ml,Rp 82.500
50,Atonik 6.0L – 100ml,Rp 17.500
51,Insect Glue 88 Perekat Perangkap Serangga Lalat Buah Trap – 100ml,Rp 35.000
52,Akarisida Samite 135EC Pembasmi Hama Tungau / Spider Mite – 100ml,Rp 32.500
53,Herbisida Roundup 486 SL 1 Liter,Rp 99.000
54,Insektisida Decis 25EC – 250ml,Rp 74.000
55,Insektisida Regent 50SC – 100ml,Rp 52.500
56,Insektisida / Nematisida Furadan 3GR – 2 Kg,Rp 40.000
57,Hormonik Nasa – 500cc,Rp 165.000
58,Insektisida Sevin 85SP – 100 Gram,Rp 40.000
59,Herbisida Clipper 25 OD 250ml 250 ml Obat Pembasmi Rumput Gulma Liar,Rp 115.000
60,Pestisida Insektisida Alika 247 ZC 247ZC – 250 ml,Rp 155.000
61,Insektisida Demolish 18EC – 100ml,Rp 93.500
62,Molukisida (Racun Keong) Sibutox 6GR – 250 gram,Rp 30.000
63,Fungisida + ZPT Amistartop 325 SC – 250ml,Rp 291.500
64,Insektisida Decis 25EC – 100ml,Rp 35.000
65,Insektisida Decis 25EC – 50ml,Rp 20.000
66,Fungisida Dithane M 45 500gr 500 gr gram Obat Anti Jamur Tanaman Hias,Rp 85.000
67,Rapid Root 100gr ZPT Hormon Penumbuh Akar Tanaman Stek Cangkok 100 gr,Rp 32.500
68,Sanvit 120 SL 500ml Perekat Perata Pembasah Pestisida Pupuk Tanaman,Rp 20.000
69,Sidamethrin Sidametrin 50 EC Obat Pembasmi Ulat Hama Daun Tanaman 50EC,Rp 15.000
70,Regent 80 WG 1 Sachet Insektisida Obat Racun Hama Tanaman 80WG Granul,Rp 15.000
71,Calaris 550SC 550 SC 250ml + Surfaktan 100ml Herbisida Tanaman Jagung,Rp 85.000
72,Bactocyn 150 AL 100ml Bakterisida dan Fungisida Obat Baktosin 150AL,Rp 50.000
73,Insektisida Dupont Lannate 25 WP 15gr Obat Pembasmi Hama Tanaman 25WP,Rp 35.000
74,Dupont Prevathon 50 SC 100ml Insektisida Prevaton Obat Pembasmi Ulat,Rp 75.000
75,Herbisida Kontak Noxone 276 SL 1 Liter Obat Pembasmi Rumput Liar 276SL,Rp 66.000
76,Herbisida Rambo Gold 480 SL 1 Liter Obat Pembasmi Racun Rumput 480SL,Rp 75.000
77,Arrivo 30 EC 100ml Insektisida Obat Pembasmi Hama Kutu Ulat Daun 30EC,Rp 15.000
78,Herbisida Basmilang 486 SL 1 Liter Obat Pembasmi Pembunuh Rumput 486SL,Rp 95.000
79,Insektisida Curacron 500EC 250ml Pestisida Pembasmi Hama Kutu Putih,Rp 78.000
80,Racun Tikus Mao Wang Beras Obat Pembasmi Tikus isi 1 gram,Rp 5.000
81,Racun Lalat Zhang Pei Zhen Obat Pembasmi Basmi Anti Pembunuh Lalat,Rp 2.000
82,Pembasmi Semut Rayap Cair SEMOX 30ml Obat Spray Insektisida Pestisida,Rp 20.000
83,Lem HOGY Perekat Perangkap Serangga Lalat Buah Trap – 100ml,Rp 40.000
84,Pestisida Insektisida Alika 247 ZC 247ZC – 100 ml,Rp 70.000
85,Insektisida Marshal 200EC – 100 ml,Rp 25.000
86,REBORN Vitamin Tanaman untuk Keriting Daun Cabe Tomat Ulat Kutu Putih – 50 ml,Rp 115.000
87,Insektisida Demolish 18EC – 50ml,Rp 55.000
88,Herbisida Supremo Gold 480 SL – 1 Liter,Rp 75.000
89,Racun Tikus / Rodentisida Kresnakum – 100 Gram,Rp 6.000
90,Pupuk Hormon ZPT Hantu Ratu Biogen – 250 ml,Rp 45.000
91,Rootone F Stek Powder,Rp 38.000
